id,city,region,country,division
ZárateArgentina,Zárate,Buenos Aires,Argentina,LATAM
Villa OcampoArgentina,Villa Ocampo,Santa Fe,Argentina,LATAM
Villa LuganoArgentina,Villa Lugano,Buenos Aires F.D.,Argentina,LATAM
VillaguayArgentina,Villaguay,Entre Rios,Argentina,LATAM
Villa GesellArgentina,Villa Gesell,Buenos Aires,Argentina,LATAM
TigreArgentina,Tigre,Buenos Aires,Argentina,LATAM
TandilArgentina,Tandil,Buenos Aires,Argentina,LATAM
San VicenteArgentina,San Vicente,Misiones,Argentina,LATAM
Santo ToméArgentina,Santo Tomé,Corrientes,Argentina,LATAM
Santa ElenaArgentina,Santa Elena,Entre Rios,Argentina,LATAM
San PedroArgentina,San Pedro,Misiones,Argentina,LATAM
San Luis del PalmarArgentina,San Luis del Palmar,Corrientes,Argentina,LATAM
San LorenzoArgentina,San Lorenzo,Corrientes,Argentina,LATAM
San JavierArgentina,San Javier,Santa Fe,Argentina,LATAM
San IsidroArgentina,San Isidro,Buenos Aires,Argentina,LATAM
SaladasArgentina,Saladas,Corrientes,Argentina,LATAM
RetiroArgentina,Retiro,Buenos Aires F.D.,Argentina,LATAM
ResistenciaArgentina,Resistencia,Chaco,Argentina,LATAM
ReconquistaArgentina,Reconquista,Santa Fe,Argentina,LATAM
QuilmesArgentina,Quilmes,Buenos Aires,Argentina,LATAM
Puerto RicoArgentina,Puerto Rico,Misiones,Argentina,LATAM
Puerto IguazúArgentina,Puerto Iguazú,Misiones,Argentina,LATAM
Puerto EsperanzaArgentina,Puerto Esperanza,Misiones,Argentina,LATAM
Puerto EldoradoArgentina,Puerto Eldorado,Misiones,Argentina,LATAM
PosadasArgentina,Posadas,Misiones,Argentina,LATAM
PontevedraArgentina,Pontevedra,Buenos Aires,Argentina,LATAM
PiranéArgentina,Pirané,Formosa,Argentina,LATAM
Paso de los LibresArgentina,Paso de los Libres,Corrientes,Argentina,LATAM
OberáArgentina,Oberá,Misiones,Argentina,LATAM
NecocheaArgentina,Necochea,Buenos Aires,Argentina,LATAM
MorónArgentina,Morón,Buenos Aires,Argentina,LATAM
Monte CaserosArgentina,Monte Caseros,Corrientes,Argentina,LATAM
MontecarloArgentina,Montecarlo,Misiones,Argentina,LATAM
MercedesArgentina,Mercedes,Buenos Aires,Argentina,LATAM
MercedesArgentina,Mercedes,Corrientes,Argentina,LATAM
Mar del PlataArgentina,Mar del Plata,Buenos Aires,Argentina,LATAM
LujánArgentina,Luján,Buenos Aires,Argentina,LATAM
La PlataArgentina,La Plata,Buenos Aires,Argentina,LATAM
La PazArgentina,La Paz,Entre Rios,Argentina,LATAM
Jardín AméricaArgentina,Jardín América,Misiones,Argentina,LATAM
GualeguaychúArgentina,Gualeguaychú,Entre Rios,Argentina,LATAM
GualeguayArgentina,Gualeguay,Entre Rios,Argentina,LATAM
GoyaArgentina,Goya,Corrientes,Argentina,LATAM
Gobernador Ingeniero Valentín VirasoroArgentina,Gobernador Ingeniero Valentín Virasoro,Corrientes,Argentina,LATAM
General José de San MartínArgentina,General José de San Martín,Chaco,Argentina,LATAM
GarupáArgentina,Garupá,Misiones,Argentina,LATAM
FormosaArgentina,Formosa,Formosa,Argentina,LATAM
FontanaArgentina,Fontana,Chaco,Argentina,LATAM
FederalArgentina,Federal,Entre Rios,Argentina,LATAM
EsquinaArgentina,Esquina,Corrientes,Argentina,LATAM
El SoberbioArgentina,El Soberbio,Misiones,Argentina,LATAM
DoloresArgentina,Dolores,Buenos Aires,Argentina,LATAM
Curuzú CuatiáArgentina,Curuzú Cuatiá,Corrientes,Argentina,LATAM
CorrientesArgentina,Corrientes,Corrientes,Argentina,LATAM
ConcordiaArgentina,Concordia,Entre Rios,Argentina,LATAM
Concepción del UruguayArgentina,Concepción del Uruguay,Entre Rios,Argentina,LATAM
ColegialesArgentina,Colegiales,Buenos Aires F.D.,Argentina,LATAM
ChajaríArgentina,Chajarí,Entre Rios,Argentina,LATAM
CampanaArgentina,Campana,Buenos Aires,Argentina,LATAM
Buenos AiresArgentina,Buenos Aires,Buenos Aires F.D.,Argentina,LATAM
BarranquerasArgentina,Barranqueras,Chaco,Argentina,LATAM
AzulArgentina,Azul,Buenos Aires,Argentina,LATAM
AvellanedaArgentina,Avellaneda,Santa Fe,Argentina,LATAM
Aristóbulo del ValleArgentina,Aristóbulo del Valle,Misiones,Argentina,LATAM
ZapalaArgentina,Zapala,Neuquen,Argentina,LATAM
Yerba BuenaArgentina,Yerba Buena,Tucumán,Argentina,LATAM
Villa ReginaArgentina,Villa Regina,Rio Negro,Argentina,LATAM
Villa Paula de SarmientoArgentina,Villa Paula de Sarmiento,San Juan,Argentina,LATAM
Villa NuevaArgentina,Villa Nueva,Cordoba,Argentina,LATAM
Villa MaríaArgentina,Villa María,Cordoba,Argentina,LATAM
Villa DoloresArgentina,Villa Dolores,Cordoba,Argentina,LATAM
Villa ConstituciónArgentina,Villa Constitución,Santa Fe,Argentina,LATAM
Villa Carlos PazArgentina,Villa Carlos Paz,Cordoba,Argentina,LATAM
Villa ÁngelaArgentina,Villa Ángela,Chaco,Argentina,LATAM
Villa AllendeArgentina,Villa Allende,Cordoba,Argentina,LATAM
ViedmaArgentina,Viedma,Rio Negro,Argentina,LATAM
VictoriaArgentina,Victoria,Entre Rios,Argentina,LATAM
VeraArgentina,Vera,Santa Fe,Argentina,LATAM
Venado TuertoArgentina,Venado Tuerto,Santa Fe,Argentina,LATAM
Veinticinco de MayoArgentina,Veinticinco de Mayo,Buenos Aires,Argentina,LATAM
UshuaiaArgentina,Ushuaia,Tierra del Fuego,Argentina,LATAM
UnquilloArgentina,Unquillo,Cordoba,Argentina,LATAM
Tres IsletasArgentina,Tres Isletas,Chaco,Argentina,LATAM
Tres ArroyosArgentina,Tres Arroyos,Buenos Aires,Argentina,LATAM
TrelewArgentina,Trelew,Chubut,Argentina,LATAM
Termas de Río HondoArgentina,Termas de Río Hondo,Santiago del Estero,Argentina,LATAM
TartagalArgentina,Tartagal,Salta,Argentina,LATAM
Tafí ViejoArgentina,Tafí Viejo,Tucumán,Argentina,LATAM
SunchalesArgentina,Sunchales,Santa Fe,Argentina,LATAM
Santo ToméArgentina,Santo Tomé,Santa Fe,Argentina,LATAM
Santiago del EsteroArgentina,Santiago del Estero,Santiago del Estero,Argentina,LATAM
Santa RosaArgentina,Santa Rosa,La Pampa,Argentina,LATAM
Santa LucíaArgentina,Santa Lucía,San Juan,Argentina,LATAM
Santa Fe de la Vera CruzArgentina,Santa Fe de la Vera Cruz,Santa Fe,Argentina,LATAM
San Salvador de JujuyArgentina,San Salvador de Jujuy,Jujuy,Argentina,LATAM
San Ramón de la Nueva OránArgentina,San Ramón de la Nueva Orán,Salta,Argentina,LATAM
San RafaelArgentina,San Rafael,Mendoza,Argentina,LATAM
San PedroArgentina,San Pedro,Jujuy,Argentina,LATAM
San Nicolás de los ArroyosArgentina,San Nicolás de los Arroyos,Buenos Aires,Argentina,LATAM
San Miguel de TucumánArgentina,San Miguel de Tucumán,Tucumán,Argentina,LATAM
San Martín de los AndesArgentina,San Martín de los Andes,Neuquen,Argentina,LATAM
San MartínArgentina,San Martín,Mendoza,Argentina,LATAM
San LuisArgentina,San Luis,San Luis,Argentina,LATAM
San JustoArgentina,San Justo,Santa Fe,Argentina,LATAM
San JuanArgentina,San Juan,San Juan,Argentina,LATAM
San José de JáchalArgentina,San José de Jáchal,San Juan,Argentina,LATAM
San JorgeArgentina,San Jorge,Santa Fe,Argentina,LATAM
San FranciscoUSA,San Francisco,California,USA,North America
San Fernando del Valle de CatamarcaArgentina,San Fernando del Valle de Catamarca,Catamarca,Argentina,LATAM
San Antonio OesteArgentina,San Antonio Oeste,Rio Negro,Argentina,LATAM
SaltaArgentina,Salta,Salta,Argentina,LATAM
RufinoArgentina,Rufino,Santa Fe,Argentina,LATAM
RosarioArgentina,Rosario,Santa Fe,Argentina,LATAM
Río TerceroArgentina,Río Tercero,Cordoba,Argentina,LATAM
Río SegundoArgentina,Río Segundo,Cordoba,Argentina,LATAM
Río GallegosArgentina,Río Gallegos,Santa Cruz,Argentina,LATAM
Río CuartoArgentina,Río Cuarto,Cordoba,Argentina,LATAM
Río CeballosArgentina,Río Ceballos,Cordoba,Argentina,LATAM
RawsonArgentina,Rawson,Chubut,Argentina,LATAM
RafaelaArgentina,Rafaela,Santa Fe,Argentina,LATAM
QuitilipiArgentina,Quitilipi,Chaco,Argentina,LATAM
Punta AltaArgentina,Punta Alta,Buenos Aires,Argentina,LATAM
Puerto MadrynArgentina,Puerto Madryn,Chubut,Argentina,LATAM
Presidencia Roque Sáenz PeñaArgentina,Presidencia Roque Sáenz Peña,Chaco,Argentina,LATAM
PocitoArgentina,Pocito,San Juan,Argentina,LATAM
PlottierArgentina,Plottier,Neuquen,Argentina,LATAM
PergaminoArgentina,Pergamino,Buenos Aires,Argentina,LATAM
PérezArgentina,Pérez,Santa Fe,Argentina,LATAM
ParanáArgentina,Paraná,Entre Rios,Argentina,LATAM
PalpaláArgentina,Palpalá,Jujuy,Argentina,LATAM
OlavarríaArgentina,Olavarría,Buenos Aires,Argentina,LATAM
Nueve de JulioArgentina,Nueve de Julio,Buenos Aires,Argentina,LATAM
NeuquénArgentina,Neuquén,Neuquen,Argentina,LATAM
MorterosArgentina,Morteros,Cordoba,Argentina,LATAM
MonterosArgentina,Monteros,Tucumán,Argentina,LATAM
MendozaArgentina,Mendoza,Mendoza,Argentina,LATAM
Marcos JuárezArgentina,Marcos Juárez,Cordoba,Argentina,LATAM
MachagaiArgentina,Machagai,Chaco,Argentina,LATAM
